"created","song","artist","url","text"
2015-07-03 09:16:49,"Faded","ZHU",NA,"Faded - ZHU #beats1"
2015-07-03 09:13:49,"City","Spring King",NA,"City - Spring King #beats1"
2015-07-03 09:08:48,"Everyday (feat. Rod Stewart, Miguel &amp; Mark Ronson)","A$AP Rocky",NA,"Everyday (feat. Rod Stewart, Miguel &amp; Mark Ronson) - A$AP Rocky #beats1"
2015-07-03 09:04:48,"Real Joy","Fono",NA,"Real Joy - Fono #beats1"
2015-07-03 09:00:47,"Let It Go","James Bay",NA,"Let It Go - James Bay #beats1"
2015-07-03 08:58:48,"Cheer Up London","Slaves",NA,"Cheer Up London - Slaves #beats1"
2015-07-03 08:55:48,"Better Man","Leon Bridges",NA,"Better Man - Leon Bridges #beats1"
2015-07-03 08:52:48,"Way Too Much","Skepta",NA,"Way Too Much - Skepta #beats1"
2015-07-03 08:48:50,"Rolling With Me (I Got Love) [feat. Maverick Sabre]","SoulCircuit",NA,"Rolling With Me (I Got Love) [feat. Maverick Sabre] - SoulCircuit #beats1"
2015-07-03 08:44:48,"London Living","Plastician featuring Jammz",NA,"London Living  - Plastician featuring Jammz  #beats1"
2015-07-03 08:42:48,"Holding On (feat. Sam Dew)","Julio Bashmore",NA,"Holding On (feat. Sam Dew) - Julio Bashmore #beats1"
2015-07-03 08:40:47,"An Interview with Disclosure","Julie Adenuga",NA,"An Interview with Disclosure - Julie Adenuga #beats1"
2015-07-03 08:36:47,"Devil's Whisper","Raury",NA,"Devil's Whisper - Raury #beats1"
2015-07-03 08:32:48,"Watch Your Mouth","Bugzy Malone",NA,"Watch Your Mouth - Bugzy Malone #beats1"
2015-07-03 08:28:47,"Bam Bam","Sister Nancy",NA,"Bam Bam - Sister Nancy #beats1"
2015-07-03 08:25:48,"An Interview with David Rodigan","Julie Adenuga",NA,"An Interview with David Rodigan - Julie Adenuga #beats1"
2015-07-03 08:18:46,"No Sleeep","Janet Jackson",NA,"No Sleeep - Janet Jackson #beats1"
2015-07-03 08:15:46,"All Around the World","Rejjie Snow",NA,"All Around the World - Rejjie Snow #beats1"
2015-07-03 08:09:46,"What Went Down","Foals",NA,"What Went Down - Foals #beats1"
2015-07-03 08:05:46,"Holding On (feat. Gregory Porter)","Disclosure",NA,"Holding On (feat. Gregory Porter) - Disclosure #beats1"
2015-07-03 08:02:46,"Frontin' (feat. Pharrell Williams)","JAY Z",NA,"Frontin' (feat. Pharrell Williams) - JAY Z #beats1"
2015-07-03 08:01:46,"White Noise (feat. Aluna George)","Disclosure",NA,"White Noise (feat. Aluna George) - Disclosure #beats1"
2015-07-03 07:57:46,"Man Don't Care (feat. Giggs)","JME",NA,"Man Don't Care (feat. Giggs) - JME  #beats1"
2015-07-03 07:53:46,"Bitter Pill","Gavin James",NA,"Bitter Pill - Gavin James #beats1"
2015-07-03 07:49:46,"Always","SpectraSoul",NA,"Always - SpectraSoul #beats1"
2015-07-03 07:42:46,"Get This in Check","Little Simz",NA,"Get This in Check - Little Simz #beats1"
2015-07-03 07:39:45,"Is This Freedom?","Little Simz",NA,"Is This Freedom? - Little Simz #beats1"
2015-07-03 07:29:45,"Cha Cha","D.R.A.M.",NA,"Cha Cha - D.R.A.M. #beats1"
2015-07-03 07:25:45,"Hangin","Formation",NA,"Hangin - Formation #beats1"
2015-07-03 07:21:45,"No Good (Start the Dance)","The Prodigy",NA,"No Good (Start the Dance) - The Prodigy #beats1"
2015-07-03 07:17:45,"\#Text Message","Busy Signal",NA,"\#Text Message - Busy Signal #beats1"
2015-07-03 07:13:45,"Muhammad Ali (High Contrast Remix)","Faithless 2.0",NA,"Muhammad Ali (High Contrast Remix) - Faithless 2.0 #beats1"
2015-07-03 07:10:45,"Wickedest MC Alive","Wiley",NA,"Wickedest MC Alive - Wiley #beats1"
2015-07-03 07:04:45,"I Know There's Gonna Be (Good Times) [feat. Young Thug &amp; Popcaan","Jamie xx",NA,"I Know There's Gonna Be (Good Times) [feat. Young Thug &amp; Popcaan - Jamie xx #beats1"
2015-07-03 06:59:44,"London","Benjamin Clementine",NA,"London - Benjamin Clementine #beats1"
2015-07-03 06:51:44,"SummerThing! (feat. Mike Taylor)","Afrojack",NA,"SummerThing! (feat. Mike Taylor) - Afrojack #beats1"
2015-07-03 06:48:44,"Cheerleader (Felix Jaehn Remix Radio Edit)","Omi",NA,"Cheerleader (Felix Jaehn Remix Radio Edit) - Omi #beats1"
2015-07-03 06:44:44,"Fight Song","Rachel Platten",NA,"Fight Song - Rachel Platten #beats1"
2015-07-03 06:37:44,"Watch Me (Whip / Nae Nae)","Silento",NA,"Watch Me (Whip / Nae Nae) - Silento #beats1"
2015-07-03 06:33:44,"Freak of the Week (feat. Jeremih)","Krept &amp; Konan",NA,"Freak of the Week (feat. Jeremih) - Krept &amp; Konan #beats1"
2015-07-03 06:32:44,"See You Again (feat. Charlie Puth)","Wiz Khalifa",NA,"See You Again (feat. Charlie Puth) - Wiz Khalifa #beats1"
2015-07-03 06:29:44,"Shut Up and Dance","WALK THE MOON",NA,"Shut Up and Dance - WALK THE MOON #beats1"
2015-07-03 06:27:44,"679 (feat. Remy Boyz)","Fetty Wap",NA,"679 (feat. Remy Boyz) - Fetty Wap #beats1"
2015-07-03 06:23:43,"Bad Blood (feat. Kendrick Lamar)","Taylor Swift",NA,"Bad Blood (feat. Kendrick Lamar) - Taylor Swift #beats1"
2015-07-03 06:19:43,"You've Started a Fire","Alba Mars",NA,"You've Started a Fire - Alba Mars #beats1"
2015-07-03 06:15:43,"Worth It (feat. Kid Ink)","Fifth Harmony",NA,"Worth It (feat. Kid Ink) - Fifth Harmony #beats1"
2015-07-03 06:09:44,"Photograph","Ed Sheeran",NA,"Photograph - Ed Sheeran #beats1"
2015-07-03 06:05:44,"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor",NA,"Like I'm Gonna Lose You (feat. John Legend) - Meghan Trainor #beats1"
2015-07-03 06:04:44,"The Hills","The Weeknd",NA,"The Hills - The Weeknd #beats1"
2015-07-03 06:00:44,"Want to Want Me","Jason Derulo",NA,"Want to Want Me - Jason Derulo #beats1"
2015-07-03 05:55:44,"Jasmine (Demo)","Jai Paul",NA,"Jasmine (Demo) - Jai Paul #beats1"
2015-07-03 05:50:44,"Sparks","Beach House",NA,"Sparks - Beach House #beats1"
2015-07-03 05:47:44,"Suicide Saturday","Hippo Campus",NA,"Suicide Saturday - Hippo Campus #beats1"
2015-07-03 05:42:44,"Brand New (with Justin Timberlake) [Duet with Justin Timberlake]","Pharrell Williams",NA,"Brand New (with Justin Timberlake) [Duet with Justin Timberlake] - Pharrell Williams #beats1"
2015-07-03 05:40:44,"An Interview with Pharrell Williams","Zane Lowe",NA,"An Interview with Pharrell Williams - Zane Lowe #beats1"
2015-07-03 05:34:42,"Weathered","Jack Garratt",NA,"Weathered - Jack Garratt #beats1"
2015-07-03 05:30:42,"Bitter Pill","Gavin James",NA,"Bitter Pill - Gavin James #beats1"
2015-07-03 05:26:43,"Dreams","Beck",NA,"Dreams - Beck #beats1"
2015-07-03 05:21:43,"Bang That","Disclosure",NA,"Bang That - Disclosure #beats1"
2015-07-03 05:18:43,"Feeling Ok","Best Coast",NA,"Feeling Ok - Best Coast #beats1"
2015-07-03 05:09:42,"Thinking Out Loud","Ed Sheeran",NA,"Thinking Out Loud - Ed Sheeran #beats1"
2015-07-03 05:03:42,"Sing","Ed Sheeran",NA,"Sing - Ed Sheeran #beats1"
2015-07-03 04:59:41,"An Interview with Ed Sheeran","Zane Lowe",NA,"An Interview with Ed Sheeran - Zane Lowe #beats1"
2015-07-03 04:55:41,"Don't","Bryson Tiller",NA,"Don't - Bryson Tiller #beats1"
2015-07-03 04:51:41,"Ghost","Delta Heavy",NA,"Ghost - Delta Heavy #beats1"
