"created","song","artist","songartist","url","count"
2015-07-06 20:57:16,"Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$)","Statik Selektah","Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$) - Statik Selektah","https://t.co/oG1DKJUaDu",17
2015-07-06 20:49:47,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-06 20:20:30,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-06 19:06:58,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-06 18:37:43,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-06 18:29:27,"Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$)","Statik Selektah","Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$) - Statik Selektah","https://t.co/oG1DKJUaDu",17
2015-07-06 18:26:27,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-06 18:18:57,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-06 17:22:39,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-06 16:18:09,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-06 15:51:53,"Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$)","Statik Selektah","Beautiful Life (Feat Action Bronson &Amp; Joey Bada$$) - Statik Selektah","https://t.co/oG1DKJUaDu",17
2015-07-06 15:45:52,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-06 15:30:51,"House Every Weekend","David Zowie","House Every Weekend - David Zowie",NA,19
2015-07-06 15:09:51,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-06 15:07:37,"Freedom","Pharrell Williams","Freedom - Pharrell Williams","https://t.co/McCYQzuIcH",21
2015-07-06 14:49:36,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-06 14:45:51,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-06 14:27:49,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-06 14:23:21,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-06 14:20:20,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez","https://t.co/O0qUbiYdXK",20
2015-07-06 12:46:33,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-06 12:23:17,"Holding On (Feat. Gregory Porter)","Disclosure","Holding On (Feat. Gregory Porter) - Disclosure","https://t.co/A59KFhjiMB",21
2015-07-06 12:12:46,"Don't","Bryson Tiller","Don't - Bryson Tiller","https://t.co/5aIpY2Oagv",18
2015-07-06 12:01:32,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-06 11:54:02,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-06 11:39:45,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-06 11:23:16,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-06 11:09:02,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-06 11:00:00,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-06 10:51:44,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-06 10:48:00,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-06 10:38:13,"Little Monster","Royal Blood","Little Monster - Royal Blood","https://t.co/hoA22ruzAz",23
2015-07-06 10:33:43,"Cha Cha","D.R.A.M.","Cha Cha - D.R.A.M.","https://t.co/y5x202RZhS",21
2015-07-06 09:40:29,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-06 09:37:28,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez","https://t.co/O0qUbiYdXK",20
2015-07-06 09:02:56,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-06 09:00:41,"Freedom","Pharrell Williams","Freedom - Pharrell Williams","https://t.co/McCYQzuIcH",21
2015-07-06 08:13:26,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-06 06:42:37,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-06 06:17:07,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-06 06:12:38,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-06 06:10:22,"Good For You (Feat. A$Ap Rocky)","Selena Gomez","Good For You (Feat. A$Ap Rocky) - Selena Gomez","https://t.co/O0qUbiYdXK",20
2015-07-06 05:37:20,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-06 04:48:35,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-06 04:32:04,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-06 02:55:17,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
2015-07-06 02:38:47,"Pedestrian At Best","Courtney Barnett","Pedestrian At Best - Courtney Barnett","https://t.co/VH1qO224JN",21
2015-07-06 02:35:48,"Bad Blood (Feat. Kendrick Lamar)","Taylor Swift","Bad Blood (Feat. Kendrick Lamar) - Taylor Swift","https://t.co/JNWOYie7i2",20
2015-07-06 02:17:46,"Alright","Kendrick Lamar","Alright - Kendrick Lamar","https://t.co/8mQmxY8fws",23
2015-07-06 02:14:46,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-06 00:57:28,"We Run The Block","Bonkaz","We Run The Block - Bonkaz","https://t.co/SWxqsMit0g",18
2015-07-06 00:51:28,"Where Are Ü Now (With Justin Bieber)","Skrillex &Amp; Diplo","Where Are Ü Now (With Justin Bieber) - Skrillex &Amp; Diplo","https://t.co/RPsSAlyXnw",22
2015-07-06 00:38:43,"Don't","Bryson Tiller","Don't - Bryson Tiller","https://t.co/5aIpY2Oagv",18
2015-07-06 00:28:58,"Don't Wanna Fight","Alabama Shakes","Don't Wanna Fight - Alabama Shakes","https://t.co/W1fdRGfVts",22
2015-07-06 00:20:43,"Let It Go","James Bay","Let It Go - James Bay","https://t.co/IvTH8ev32R",20
2015-07-06 00:01:12,"Holding On (Feat. Sam Dew)","Julio Bashmore","Holding On (Feat. Sam Dew) - Julio Bashmore","https://t.co/xckvanF7PP",20
2015-07-05 23:40:12,"Trap Queen","Fetty Wap","Trap Queen - Fetty Wap","https://t.co/OWRc7c13Gg",21
2015-07-05 23:23:40,"Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley)","Major Lazer","Powerful (Feat. Ellie Goulding &Amp; Tarrus Riley) - Major Lazer","https://t.co/qOE3XOAbGU",18
2015-07-05 23:09:26,"Dreams","Beck","Dreams - Beck","https://t.co/AyQGWKitnm",23
2015-07-05 22:59:40,"Can't Feel My Face","The Weeknd","Can't Feel My Face - The Weeknd","https://t.co/q5jNrBLMdm",25
